**********************************
*   Optimizing GRN with GRNEAT   *
**********************************

---- Evolution parameters ----
Folder name:                        NMSarsa_PuddleWorld/run_3274425346046829
Evaluator name:                     NMSarsa_PuddleWorld
Random seed:                        111
GREAT activated:                    true
Max iterations:                     500
Population size:                    500
Save Population:                    false
Representative method:              1
Species size adjusting methods:     2
Dynamics coeff for genome distance: true
GREAT initialization                true
Number of CPUs                      16
Speciation threshold:               0.15
Species min size:                   15
Initial duplicates:                 19
Tournament size:                    3
Crossover rate:                     0.2
Mutation rate:                      0.8
Crossovers:
	AligningCrossover_v4(0.15)
Mutations:
	AddGeneMutation(maxSize=2147483647, prob=0.33)
	DeleteGeneMutation(minSize=8, prob=0.33)
	ChangeGeneMutation(prob=0.33)
------------------------------

---- Starting evolution ----
IT	Nanotime	#Eval	#Species	PopSize	Best	Avg	Worst	Best GRN Size	Avg GRN size	Max GRN size	Min GRN size
0	3274789562403010	480	24	480	563.1366666666624	107.46115624999933	-50.100000000000406	8	7.68	8	8
1	3275721245891336	1062	12	582	641.3416666666616	283.2865206185556	-50.100000000000406	8	9.766	9	8
2	3276932599929678	1640	12	512	639.9116666666616	306.72542643229013	-50.100000000000406	8	8.882	11	8
3	3278337585309076	2213	12	512	666.6116666666614	346.0407942708314	-50.100000000000406	8	9.108	11	8
4	3279442231990433	2738	14	512	688.4749999999946	364.56112630208116	-50.100000000000406	10	9.34	12	8
5	3281160910603915	3323	15	514	672.5983333333278	432.0945979247701	-50.100000000000406	9	9.566	13	8
6	3282564994391403	3858	13	515	646.9449999999947	442.3807831715179	-50.100000000000406	10	9.65	14	8
7	3283947814657172	4390	15	513	672.9399999999947	445.3287199480152	-50.100000000000406	9	9.636	14	8
8	3285369012723588	4929	14	515	723.0949999999942	457.3362750809029	-50.100000000000406	12	9.824	15	8
9	3286921002155491	5479	14	514	659.9916666666613	462.6617542153015	-50.100000000000406	9	9.882	14	8
10	3288490366008820	6020	15	514	665.9116666666614	479.63774643320016	-50.100000000000406	9	10.064	15	8
